original,uniformat,equivalent
Jennifer Graves,Jennifer Graves,['Jennifer Graves']
"Hawkins, Jennifer",Jennifer Hawkins,"['Hawkins, Jennifer']"
Jennifer Heerwig,Jennifer Heerwig,['Jennifer Heerwig']
Jennifer Hill,Jennifer Hill,"['Jennifer Hill', 'J. A. Hill']"
Jennifer Huang,Jennifer Huang,"['Jennifer Huang', 'Huang, Jennifer', 'Huang, J u-Chin']"
Jennifer Hunt,Jennifer Hunt,"['Jennifer Hunt', 'Hunt, Jennifer']"
Jennifer Imazeki,Jennifer Imazeki,['Jennifer Imazeki']
Jennifer Jennings,Jennifer Jennings,['Jennifer Jennings']
"Castle, Jennifer L.",Jennifer L. Castle,"['Castle, Jennifer L.']"
Jennifer L. Doleac,Jennifer L. Doleac,['Jennifer L. Doleac']
Jennifer L. Juergens,Jennifer L. Juergens,"['Jennifer L. Juergens', 'Juergens, Jennifer L.']"
"Kao, Jennifer L.",Jennifer L. Kao,"['Kao, Jennifer L.']"
"Steele, Jennifer L.",Jennifer L. Steele,"['Steele, Jennifer L.']"
"Wang, Jennifer L.",Jennifer L. Wang,"['Wang, Jennifer L.']"
Jennifer La'O,Jennifer La'O,"[""Jennifer La'O""]"
"La?O, Jennifer",Jennifer La?O,"['La?O, Jennifer']"
"La’O, Jennifer",Jennifer La’O,"['La’O, Jennifer']"
"Koski, Jennifer Lynch",Jennifer Lynch Koski,"['Koski, Jennifer Lynch', 'Jennifer L. Koski', 'Jennifer Lynch Koski']"
Jennifer M. Mellor,Jennifer M. Mellor,['Jennifer M. Mellor']
Jennifer Ma,Jennifer Ma,['Jennifer Ma']
"Martínez-Ferrero, Jennifer",Jennifer Martínez-Ferrero,"['Martínez-Ferrero, Jennifer']"
"Meredith, Jennifer",Jennifer Meredith,"['Meredith, Jennifer']"
"Carpenter, Jennifer N.",Jennifer N. Carpenter,"['Carpenter, Jennifer N.', 'Jennifer N. Carpenter']"
"Wissink, Jennifer P",Jennifer P Wissink,"['Wissink, Jennifer P']"
"Poole, Jennifer P.",Jennifer P. Poole,"['Poole, Jennifer P.', 'Jennifer P. Poole']"
Jennifer Pate,Jennifer Pate,['Jennifer Pate']
Jennifer Pate Offenberg,Jennifer Pate Offenberg,['Jennifer Pate Offenberg']
"Roback, Jennifer",Jennifer Roback,"['Roback, Jennifer']"
"Roberts, Jennifer",Jennifer Roberts,"['Roberts, Jennifer']"
"Conrad, Jennifer S",Jennifer S Conrad,"['Conrad, Jennifer S', 'Jennifer S. Conrad', 'Jennifer Conrad', 'Conrad, Jennifer']"
"Sharpley, Jennifer",Jennifer Sharpley,"['Sharpley, Jennifer']"
Jennifer V. Greenslade,Jennifer V. Greenslade,['Jennifer V. Greenslade']
Jennifer Ward-Batts,Jennifer Ward-Batts,"['Jennifer Ward-Batts', 'Ward-Batts, Jennifer']"
"Warlick, Jennifer",Jennifer Warlick,"['Warlick, Jennifer', 'Warlick, Jennifer L']"
"Williams, Jennifer",Jennifer Williams,"['Williams, Jennifer']"
"Wortman Vaughan, Jennifer",Jennifer Wortman Vaughan,"['Wortman Vaughan, Jennifer']"
"Minier, Jenny A",Jenny A Minier,"['Minier, Jenny A', 'Minier, Jenny', 'Minier, Jenny A.', 'Jenny Minier']"
Jenny C. Aker,Jenny C. Aker,"['Jenny C. Aker', 'Aker, Jenny C.']"
"Corbett, Jenny",Jenny Corbett,"['Corbett, Jenny']"
"Ligthart, Jenny E.",Jenny E. Ligthart,"['Ligthart, Jenny E.']"
"Phillips, Jenny",Jenny Phillips,"['Phillips, Jenny']"
Jenny Säve?Söderbergh,Jenny Säve?Söderbergh,['Jenny Säve?Söderbergh']
"Williams, Jenny",Jenny Williams,"['Williams, Jenny']"
"Li, Jenny X.",Jenny X. Li,"['Li, Jenny X.']"
"Lin, Jenny X.",Jenny X. Lin,"['Lin, Jenny X.']"
"Stephan, Jens A",Jens A Stephan,"['Stephan, Jens A']"
"Barmbold, Jens",Jens Barmbold,"['Barmbold, Jens']"
Jens Bonke,Jens Bonke,['Jens Bonke']
"Boysen-Hogrefe, Jens",Jens Boysen-Hogrefe,"['Boysen-Hogrefe, Jens']"
"Andvig, Jens Christopher",Jens Christopher Andvig,"['Andvig, Jens Christopher']"
"Dick-Nielsen, Jens",Jens Dick-Nielsen,"['Dick-Nielsen, Jens']"
"Forssbæck, Jens",Jens Forssbæck,"['Forssbæck, Jens']"
"Gmelin, Jens",Jens Gmelin,"['Gmelin, Jens']"
"Großer, Jens",Jens Großer,"['Großer, Jens']"
"Grunert, Jens",Jens Grunert,"['Grunert, Jens']"
"Christensen, Jens H.E.",Jens H.E. Christensen,"['Christensen, Jens H.E.', 'Jens H. E. Christensen']"
"Hagendorff, Jens",Jens Hagendorff,"['Hagendorff, Jens']"
Jens Hainmueller,Jens Hainmueller,"['Jens Hainmueller', 'Hainmueller, Jens']"
Jens Hilscher,Jens Hilscher,['Jens Hilscher']
Jens Iversen,Jens Iversen,['Jens Iversen']
Jens J. Krüger,Jens J. Krüger,['Jens J. Krüger']
"Jackwerth, Jens",Jens Jackwerth,"['Jackwerth, Jens', 'Jackwerth, Jens Carsten', 'Jens Carsten Jackwerth']"
Jens Josephson,Jens Josephson,['Jens Josephson']
"Kovsted, Jens",Jens Kovsted,"['Kovsted, Jens']"
"Hougaard, Jens Leth",Jens Leth Hougaard,"['Hougaard, Jens Leth']"
"Ludwig, Jens",Jens Ludwig,"['Ludwig, Jens', 'Jens Ludwig']"
"Matthias Arnold, Jens",Jens Matthias Arnold,"['Matthias Arnold, Jens', 'Jens Matthias Arnold', 'Arnold, Jens M.']"
Jens Ruhose,Jens Ruhose,"['Jens Ruhose', 'Ruhose, Jens']"
Jens Stegmaier,Jens Stegmaier,['Jens Stegmaier']
"Suedekum, Jens",Jens Suedekum,"['Suedekum, Jens', 'Jens Suedekum']"
Jens Warming,Jens Warming,['Jens Warming']
"Wrona, Jens",Jens Wrona,"['Wrona, Jens']"
Jensen Michael C.,Jensen Michael C.,['Jensen Michael C.']
"Rhee, Jeong J",Jeong J Rhee,"['Rhee, Jeong J']"
"Kim, Jeong-Bon",Jeong-Bon Kim,"['Kim, Jeong-Bon']"
"Lee, Jeong-Joon",Jeong-Joon Lee,"['Lee, Jeong-Joon']"
"Kurz-Kim, Jeong-Ryeol",Jeong-Ryeol Kurz-Kim,"['Kurz-Kim, Jeong-Ryeol']"
"Shin, Jeong-Shik",Jeong-Shik Shin,"['Shin, Jeong-Shik']"
"Lee, Jeong-Yeon",Jeong-Yeon Lee,"['Lee, Jeong-Yeon']"
Jeong-wen Chiang,Jeong-wen Chiang,"['Jeong-wen Chiang', 'Chiang, Jeongwen']"
Jerah Johnson,Jerah Johnson,['Jerah Johnson']
"Hunter, Jerald",Jerald Hunter,"['Hunter, Jerald']"
Jerchern Lin,Jerchern Lin,"['Jerchern Lin', 'Lin, J. Barry']"
"Behrman, Jere",Jere Behrman,"['Behrman, Jere', 'Jere R. Behrman', 'J. N. Behrman', 'Behrman, Jere R', 'Behrman, Jere R.', 'Behrman, J. R.']"
"Allen, Jeremiah",Jeremiah Allen,"['Allen, Jeremiah']"
"Cotton, Jeremiah",Jeremiah Cotton,"['Cotton, Jeremiah']"
Jeremiah E. Dittmar,Jeremiah E. Dittmar,['Jeremiah E. Dittmar']
Jeremiah Smith,Jeremiah Smith,"['Jeremiah Smith', 'J. G. Smith', 'Smith, J.A.Jeffrey A.', 'J. Russell Smith']"
Jeremiah W. Jenks,Jeremiah W. Jenks,['Jeremiah W. Jenks']
"Atack, Jeremy",Jeremy Atack,"['Atack, Jeremy']"
"Rudd, Jeremy B.",Jeremy B. Rudd,"['Rudd, Jeremy B.', 'Jeremy B. Rudd', 'Rudd, Jeremy', 'Jeremy Rudd']"
"Berkowitz, Jeremy",Jeremy Berkowitz,"['Berkowitz, Jeremy', 'Jeremy Berkowitz']"
"Bray, Jeremy, et al",Jeremy Bray,"['Bray, Jeremy, et al', 'Jeremy W. Bray']"
Jeremy Bulow,Jeremy Bulow,"['Jeremy Bulow', 'Bulow, Jeremy', 'Jeremy I. Bulow', 'Bulow, Jeremy I']"
"Goh, Jeremy C",Jeremy C Goh,"['Goh, Jeremy C', 'Goh, Jeremy']"
"Stein, Jeremy C",Jeremy C Stein,"['Stein, Jeremy C', 'Stein, Jeremy', 'Jeremy C. Stein', 'J. L. Stein', 'Stein, Jeremy C.', 'Stein, J.L.']"
Jeremy Clark,Jeremy Clark,"['Jeremy Clark', 'J. M. Clark']"
Jeremy Edwards,Jeremy Edwards,"['Jeremy Edwards', 'J. S. S. Edwards', 'Edwards, Jeremy', 'Edwards, J. S. S.']"
"Evnine, Jeremy",Jeremy Evnine,"['Evnine, Jeremy']"
Jeremy Grant,Jeremy Grant,['Jeremy Grant']
Jeremy Greenwood,Jeremy Greenwood,"['Jeremy Greenwood', 'Greenwood, Jeremy']"
"Graveline, Jeremy J.",Jeremy J. Graveline,"['Graveline, Jeremy J.', 'Jeremy J. Graveline']"
Jeremy J. Nalewaik,Jeremy J. Nalewaik,"['Jeremy J. Nalewaik', 'Nalewaik, Jeremy J.', 'Nalewaik, Jeremy']"
"Page, Jeremy K.",Jeremy K. Page,"['Page, Jeremy K.']"
"Large, Jeremy",Jeremy Large,"['Large, Jeremy']"
"Lever, Jeremy",Jeremy Lever,"['Lever, Jeremy']"
Jeremy Lise,Jeremy Lise,['Jeremy Lise']
Jeremy M. Weinstein,Jeremy M. Weinstein,['Jeremy M. Weinstein']
"Magruder, Jeremy",Jeremy Magruder,"['Magruder, Jeremy', 'Jeremy Magruder', 'Magruder, Jeremy R.']"
Jeremy Majerovitz,Jeremy Majerovitz,['Jeremy Majerovitz']
"Oldfather, Jeremy",Jeremy Oldfather,"['Oldfather, Jeremy']"
"Piger, Jeremy",Jeremy Piger,"['Piger, Jeremy', 'Jeremy Piger']"
"Rudin, Jeremy R.",Jeremy R. Rudin,"['Rudin, Jeremy R.']"
Jeremy Shapiro,Jeremy Shapiro,['Jeremy Shapiro']
Jeremy Siegel,Jeremy Siegel,"['Jeremy Siegel', 'Siegel, Jeremy J.', 'Siegel, Jeremy J', 'Jeremy J. Siegel']"
"Smith, Jeremy",Jeremy Smith,"['Smith, Jeremy', 'Smith, J Barry', 'J. G. Smith', 'Jeremy Smith', 'Smith, J.A.Jeffrey A.', 'J. Russell Smith']"
Jeremy T. Fox,Jeremy T. Fox,"['Jeremy T. Fox', 'Fox, Jeremy T.']"
Jeremy Tobacman,Jeremy Tobacman,['Jeremy Tobacman']
"West, Jeremy",Jeremy West,"['West, Jeremy', 'Jeremy West']"
Jernej Copic,Jernej Copic,['Jernej Copic']
"?opi?, Jernej",Jernej ?opi?,"['?opi?, Jernej']"
"Derwall, Jeroen",Jeroen Derwall,"['Derwall, Jeroen']"
"de Munnik, Jeroen F. J.",Jeroen F. J. de Munnik,"['de Munnik, Jeroen F. J.']"
"Hinloopen, Jeroen",Jeroen Hinloopen,"['Hinloopen, Jeroen']"
"Kremers, Jeroen J. M.",Jeroen J. M. Kremers,"['Kremers, Jeroen J. M.']"
"Kerkhof, Jeroen",Jeroen Kerkhof,"['Kerkhof, Jeroen']"
"Klomp, Jeroen",Jeroen Klomp,"['Klomp, Jeroen']"
"Swinkels, Jeroen M.",Jeroen M. Swinkels,"['Swinkels, Jeroen M.', 'Swinkels, Jeroen', 'Swinkels, Jeroen M', 'Jeroen M. Swinkels']"
"Sabbe, Jeroen",Jeroen Sabbe,"['Sabbe, Jeroen']"
"Rombouts, Jeroen V.K.",Jeroen V.K. Rombouts,"['Rombouts, Jeroen V.K.', 'Rombouts, Jeroen']"
"van Zundert, Jeroen",Jeroen van Zundert,"['van Zundert, Jeroen']"
"van de Ven, Jeroen",Jeroen van de Ven,"['van de Ven, Jeroen', 'Jeroen van de Ven']"
"Muskin, Jerold B",Jerold B Muskin,"['Muskin, Jerold B']"
"Zimmerman, Jerold L",Jerold L Zimmerman,"['Zimmerman, Jerold L', 'Zimmerman, Jerold L.']"
"Warner, Jerold",Jerold Warner,"['Warner, Jerold', 'Warner, Jerold B.', 'Warner, Jerold B', 'Jerold B. Warner']"
"Olson, Jerome A.",Jerome A. Olson,"['Olson, Jerome A.', 'Olson, J E']"
Jerome Adda,Jerome Adda,"['Jerome Adda', 'Adda, Jerome']"
"Baesel, Jerome B",Jerome B Baesel,"['Baesel, Jerome B']"
Jerome B. Cohen,Jerome B. Cohen,"['Jerome B. Cohen', 'Cohen, J.']"
"Detemple, Jerome",Jerome Detemple,"['Detemple, Jerome', 'Detemple, Jerome B', 'Detemple, Jerome B.', 'Jérome Detemple', 'Detemple, J.']"
"Doutriaux, Jerome",Jerome Doutriaux,"['Doutriaux, Jerome']"
"Hass, Jerome E",Jerome E Hass,"['Hass, Jerome E']"
"Delson, Jerome K.",Jerome K. Delson,"['Delson, Jerome K.']"
"Duncan, Jerome L, Jr",Jerome L Duncan,"['Duncan, Jerome L, Jr']"
Jerome L. Stein,Jerome L. Stein,"['Jerome L. Stein', 'J. L. Stein', 'Stein, Jerome L', 'Stein, Jerome L.', 'Stein, J.L.']"
Jerome L. Toner,Jerome L. Toner,['Jerome L. Toner']
"Wolgin, Jerome M",Jerome M Wolgin,"['Wolgin, Jerome M']"
"Krief, Jerome M.",Jerome M. Krief,"['Krief, Jerome M.']"
"Culp, Jerome McCristal, Jr",Jerome McCristal Culp,"['Culp, Jerome McCristal, Jr']"
Jerome P. Taillard,Jerome P. Taillard,['Jerome P. Taillard']
"Pouyet, Jerome",Jerome Pouyet,"['Pouyet, Jerome']"
"Baier, Jerome R",Jerome R Baier,"['Baier, Jerome R', 'Baier, J R']"
Jerome R. Busemeyer,Jerome R. Busemeyer,['Jerome R. Busemeyer']
Jerome Rothenberg,Jerome Rothenberg,"['Jerome Rothenberg', 'Rothenberg, Jerome']"
"Fons, Jerome S",Jerome S Fons,"['Fons, Jerome S']"
"Zettelmeyer, Jeromin",Jeromin Zettelmeyer,"['Zettelmeyer, Jeromin', 'Jeromin Zettelmeyer']"
"Sharples, Jerry A",Jerry A Sharples,"['Sharples, Jerry A']"
"Viscione, Jerry A",Jerry A Viscione,"['Viscione, Jerry A']"
"Cao, Jerry",Jerry Cao,"['Cao, Jerry', 'Cao, Jerry X.']"
"Coakley, Jerry",Jerry Coakley,"['Coakley, Jerry']"
"Cromwell, Jerry",Jerry Cromwell,"['Cromwell, Jerry']"
Jerry Evensky,Jerry Evensky,['Jerry Evensky']
"Hunt, Jerry G",Jerry G Hunt,"['Hunt, Jerry G']"
Jerry H. Tempelman,Jerry H. Tempelman,['Jerry H. Tempelman']
"Hartzog, Jerry",Jerry Hartzog,"['Hartzog, Jerry']"
"Weygandt, Jerry J",Jerry J Weygandt,"['Weygandt, Jerry J']"
"Jasinowski, Jerry J.",Jerry J. Jasinowski,"['Jasinowski, Jerry J.', 'Jasinowski, Jerry']"
"Jordan, Jerry L",Jerry L Jordan,"['Jordan, Jerry L', 'Jordan, J.S.', 'J. S. Jordan', 'Jordan, J S', 'Jordan, Jerry L.', 'Jordan, J V', 'Jordan, J. S.']"
"Stevens, Jerry L",Jerry L Stevens,"['Stevens, Jerry L']"
"Bona, Jerry L.",Jerry L. Bona,"['Bona, Jerry L.']"
"Hooton, Jerry L.",Jerry L. Hooton,"['Hooton, Jerry L.']"
"Bradley, Jerry O",Jerry O Bradley,"['Bradley, Jerry O']"
"Jackson, Jerry R",Jerry R Jackson,"['Jackson, Jerry R']"
"Green, Jerry R.",Jerry R. Green,"['Green, Jerry R.', 'Green, Jerry R', 'Jerry Green', 'Green, Jerry', 'J. Green', 'Jerry R. Green']"
"Kelly, Jerry Stewart",Jerry Stewart Kelly,"['Kelly, Jerry Stewart', 'Kelly, Jerry S', 'Kelly, Jerry S.']"
"Sun, Jerry",Jerry Sun,"['Sun, Jerry']"
Jerry T. Bigosinski,Jerry T. Bigosinski,['Jerry T. Bigosinski']
"Thursby, Jerry",Jerry Thursby,"['Thursby, Jerry', 'Jerry G. Thursby', 'Jerry Thursby', 'Thursby, Jerry G', 'Thursby, Jerry G.']"
Jerry Tsai,Jerry Tsai,['Jerry Tsai']
Jerusalem D. Levhari,Jerusalem D. Levhari,['Jerusalem D. Levhari']
"Konieczny, Jerzy D.",Jerzy D. Konieczny,"['Konieczny, Jerzy D.', 'Konieczny, Jerzy D']"
"Baksalary, Jerzy K.",Jerzy K. Baksalary,"['Baksalary, Jerzy K.']"
"Mycielski, Jerzy",Jerzy Mycielski,"['Mycielski, Jerzy']"
"Rozanski, Jerzy",Jerzy Rozanski,"['Rozanski, Jerzy']"
"Szroeter, Jerzy",Jerzy Szroeter,"['Szroeter, Jerzy']"
"Carballo, Jerónimo",Jerónimo Carballo,"['Carballo, Jerónimo']"
"Andreasen, Jesper",Jesper Andreasen,"['Andreasen, Jesper']"
Jesper Bagger,Jesper Bagger,['Jesper Bagger']
"Hanson, Jesper",Jesper Hanson,"['Hanson, Jesper']"
"Kuhl, Jesper",Jesper Kuhl,"['Kuhl, Jesper']"
Jesper Linde,Jesper Linde,"['Jesper Linde', 'Linde, Jesper']"
Jesper Lindé,Jesper Lindé,"['Jesper Lindé', 'Lindé, Jesper']"
Jesper Lund,Jesper Lund,"['Jesper Lund', 'Lund, Jesper']"
"Pedersen, Jesper",Jesper Pedersen,"['Pedersen, Jesper']"
"Rangvid, Jesper",Jesper Rangvid,"['Rangvid, Jesper']"
Jesper Roine,Jesper Roine,"['Jesper Roine', 'Roine, Jesper']"
"Stage, Jesper",Jesper Stage,"['Stage, Jesper']"
"Yawitz, Jess B.",Jess B. Yawitz,"['Yawitz, Jess B.', 'Yawitz, Jess B']"
Jess Benhabib,Jess Benhabib,"['Jess Benhabib', 'Benhabib, Jess']"
Jess Cornaggia,Jess Cornaggia,"['Jess Cornaggia', 'Cornaggia, Jess']"
"Chua, Jess H",Jess H Chua,"['Chua, Jess H']"
Jessamyn Schaller,Jessamyn Schaller,['Jessamyn Schaller']
"Blocher, Jesse",Jesse Blocher,"['Blocher, Jesse']"
Jesse Bricker,Jesse Bricker,['Jesse Bricker']
"Bull, Jesse",Jesse Bull,"['Bull, Jesse']"
Jesse Burkhead,Jesse Burkhead,['Jesse Burkhead']
Jesse E. Pope,Jesse E. Pope,"['Jesse E. Pope', 'J. E. Pope']"
"Edgerton, Jesse",Jesse Edgerton,"['Edgerton, Jesse', 'Jesse Edgerton']"
Jesse Ellis,Jesse Ellis,"['Jesse Ellis', 'Ellis, Jesse A.']"
Jesse Francis Orton,Jesse Francis Orton,['Jesse Francis Orton']
"Fried, Jesse",Jesse Fried,"['Fried, Jesse', 'Jesse M. Fried']"
Jesse Gregory,Jesse Gregory,['Jesse Gregory']
"Cunha, Jesse M.",Jesse M. Cunha,"['Cunha, Jesse M.']"
Jesse M. Rothstein,Jesse M. Rothstein,"['Jesse M. Rothstein', 'Jesse Rothstein', 'Rothstein, J.M.Jesse M.', 'Rothstein, Jesse']"
Jesse M. Shapiro,Jesse M. Shapiro,"['Jesse M. Shapiro', 'Shapiro, Jesse M.']"
"Matheson, Jesse",Jesse Matheson,"['Matheson, Jesse']"
Jesse Perla,Jesse Perla,['Jesse Perla']
Jesse S. Hixson,Jesse S. Hixson,['Jesse S. Hixson']
Jesse Schreger,Jesse Schreger,['Jesse Schreger']
Jesse W. Markham,Jesse W. Markham,"['Jesse W. Markham', 'Markham, Jesse W']"
"Wachter, Jessica A.",Jessica A. Wachter,"['Wachter, Jessica A.', 'Jessica A. Wachter']"
Jessica Calfee Stahl,Jessica Calfee Stahl,['Jessica Calfee Stahl']
Jessica Cohen,Jessica Cohen,"['Jessica Cohen', 'Jessica L. Cohen', 'Cohen, J.']"
"Goldberg, Jessica",Jessica Goldberg,"['Goldberg, Jessica', 'Jessica Goldberg']"
Jessica Gordon Nembhard,Jessica Gordon Nembhard,['Jessica Gordon Nembhard']
"Holmes, Jessica",Jessica Holmes,"['Holmes, Jessica', 'Jessica Holmes']"
"Johnson, Jessica",Jessica Johnson,"['Johnson, Jessica']"
"Leight, Jessica",Jessica Leight,"['Leight, Jessica']"
Jessica Leino,Jessica Leino,['Jessica Leino']
Jessica Pan,Jessica Pan,['Jessica Pan']
"Vistnes, Jessica Primoff",Jessica Primoff Vistnes,"['Vistnes, Jessica Primoff']"
"Rutherford, Jessica",Jessica Rutherford,"['Rutherford, Jessica']"
Jessica S. Howell,Jessica S. Howell,['Jessica S. Howell']
"Wallack, Jessica Seddon",Jessica Seddon Wallack,"['Wallack, Jessica Seddon']"
Jessica Shiwen Cheng,Jessica Shiwen Cheng,['Jessica Shiwen Cheng']
Jessica Wisdom,Jessica Wisdom,['Jessica Wisdom']
Jessica Wolpaw Reyes,Jessica Wolpaw Reyes,['Jessica Wolpaw Reyes']
"Zhu, Jessica",Jessica Zhu,"['Zhu, Jessica']"
Jessie Handbury,Jessie Handbury,['Jessie Handbury']
Jessie Jiaxu Wang,Jessie Jiaxu Wang,['Jessie Jiaxu Wang']
"Magerman, Jesswill",Jesswill Magerman,"['Magerman, Jesswill']"
"Crespo Cuaresma, Jesus",Jesus Crespo Cuaresma,"['Crespo Cuaresma, Jesus']"
Jesus Felipe,Jesus Felipe,['Jesus Felipe']
"Fernandez-Villaverde, Jesus",Jesus Fernandez-Villaverde,"['Fernandez-Villaverde, Jesus', 'Jesus Fernandez-Villaverde']"
"Seade, Jesus K",Jesus K Seade,"['Seade, Jesus K', 'Jesus Seade', 'Seade, Jesus', 'Seade, J. K.']"
"Carro, Jesus M.",Jesus M. Carro,"['Carro, Jesus M.']"
"Salas, Jesus M.",Jesus M. Salas,"['Salas, Jesus M.']"
"Otero, Jesus",Jesus Otero,"['Otero, Jesus', 'Otero, Jesus G.']"
Jesus Saa-Requejo,Jesus Saa-Requejo,"['Jesus Saa-Requejo', 'Saa-Requejo, Jesus']"
"Saurina, Jesus",Jesus Saurina,"['Saurina, Jesus', 'Jesus Saurina', 'Saurina, Jesús', 'Saurina, J.', 'Jesús Saurina']"
Jesus Vigo-Aguiar,Jesus Vigo-Aguiar,['Jesus Vigo-Aguiar']
Jesús Fernández-Villaverde,Jesús Fernández-Villaverde,"['Jesús Fernández-Villaverde', 'Jesus Fernández-Villaverde', 'Fernández-Villaverde, Jesús']"
"Gonzalo, Jesús",Jesús Gonzalo,"['Gonzalo, Jesús', 'Gonzalo, Jesus', 'Jesus Gonzalo']"
"Peiró-Palomino, Jesús",Jesús Peiró-Palomino,"['Peiró-Palomino, Jesús']"
"Seade, Jesús",Jesús Seade,"['Seade, Jesús', 'Seade, Jesus', 'Seade, J. K.']"
Jesúús Fernández-Huertas Moraga,Jesúús Fernández-Huertas Moraga,"['Jesúús Fernández-Huertas Moraga', 'Fernández-Huertas Moraga, J.', 'Fernández-Huertas Moraga, Jesús']"
"Yee, Jet",Jet Yee,"['Yee, Jet']"
"Shim, Jeungbo",Jeungbo Shim,"['Shim, Jeungbo']"
"Cherniwchan, Jevan",Jevan Cherniwchan,"['Cherniwchan, Jevan']"
"Steinbuks, Jevgenijs",Jevgenijs Steinbuks,"['Steinbuks, Jevgenijs']"
Jhih-Shyang Shih,Jhih-Shyang Shih,['Jhih-Shyang Shih']
"Shin, Jhinyoung",Jhinyoung Shin,"['Shin, Jhinyoung']"
"Ham, Jhon C.",Jhon C. Ham,"['Ham, Jhon C.']"
"Shieh, Jhy-yuan",Jhy-yuan Shieh,"['Shieh, Jhy-yuan']"
"Yoon, Ji Hee",Ji Hee Yoon,"['Yoon, Ji Hee']"
"Lee, Ji Hyung",Ji Hyung Lee,"['Lee, Ji Hyung']"
Ji Li,Ji Li,['Ji Li']
Ji Shen,Ji Shen,['Ji Shen']
"Wu, Ji",Ji Wu,"['Wu, Ji']"
Ji-Chai Lin,Ji-Chai Lin,"['Ji-Chai Lin', 'Lin, J. Barry', 'Lin, Ji-Chai']"
"Shiu, Ji-Liang",Ji-Liang Shiu,"['Shiu, Ji-Liang']"
Ji-Woong Chung,Ji-Woong Chung,['Ji-Woong Chung']
Jia Hao,Jia Hao,['Jia Hao']
Jia He,Jia He,"['Jia He', 'He, Jia, et al', 'He, Jia']"
Jia Li,Jia Li,"['Jia Li', 'Li, Jia']"
"Wang, Jia",Jia Wang,"['Wang, Jia', 'Wang, Jian', 'Wang, Jiao']"
Jia Xie,Jia Xie,['Jia Xie']
"Yan, Jia",Jia Yan,"['Yan, Jia', 'Jia Yan']"
"Wu, Jiabin",Jiabin Wu,"['Wu, Jiabin']"
"Wang, Jiaguo(George)",Jiaguo(George) Wang,"['Wang, Jiaguo(George)']"
"Che, Jiahua",Jiahua Che,"['Che, Jiahua', 'Jiahua Che']"
Jiahui Wang,Jiahui Wang,['Jiahui Wang']
"Wang, Jiakou",Jiakou Wang,"['Wang, Jiakou']"
Jialan Wang,Jialan Wang,['Jialan Wang']
"Yu, Jialin",Jialin Yu,"['Yu, Jialin', 'Jialin Yu']"
Jian Chen,Jian Chen,"['Jian Chen', 'Chen, Jia']"
"Gao, Jian",Jian Gao,"['Gao, Jian']"
Jian Hu,Jian Hu,['Jian Hu']
"Hua, Jian",Jian Hua,"['Hua, Jian']"
Jian Huang,Jian Huang,"['Jian Huang', 'Huang, J u-Chin']"
"Shi, Jian",Jian Shi,"['Shi, Jian']"
Jian Su,Jian Su,['Jian Su']
Jian Tong,Jian Tong,['Jian Tong']
Jian Xue,Jian Xue,['Jian Xue']
"Yang, Jian",Jian Yang,"['Yang, Jian', 'Jimmy Yang, J.']"
"Zhong, Jian-Guo",Jian-Guo Zhong,"['Zhong, Jian-Guo']"
"Wang, Jian-Ye",Jian-Ye Wang,"['Wang, Jian-Ye']"
"Liu, Jianan",Jianan Liu,"['Liu, Jianan']"
"Tian, Jianbo",Jianbo Tian,"['Tian, Jianbo']"
"Zhang, Jianbo",Jianbo Zhang,"['Zhang, Jianbo']"
"Shen, Jiancheng",Jiancheng Shen,"['Shen, Jiancheng']"
"Ju, Jiandong",Jiandong Ju,"['Ju, Jiandong']"
"Hu, Jianfeng",Jianfeng Hu,"['Hu, Jianfeng']"
Jianfeng Shen,Jianfeng Shen,"['Jianfeng Shen', 'Shen, Jianfeng']"
Jianfeng Yu,Jianfeng Yu,"['Jianfeng Yu', 'Yu, Jianfeng']"
Jiang Luo,Jiang Luo,"['Jiang Luo', 'Luo, Jiang']"
"Shen, Jianghua",Jianghua Shen,"['Shen, Jianghua']"
Jianguo Xu,Jianguo Xu,['Jianguo Xu']
Jiangyong Lu,Jiangyong Lu,"['Jiangyong Lu', 'Lu, Jiangyong']"
"Wu, Jianhong",Jianhong Wu,"['Wu, Jianhong']"
"Yang, Jianing",Jianing Yang,"['Yang, Jianing', 'Jimmy Yang, J.']"
"Zhang, Jianing",Jianing Zhang,"['Zhang, Jianing']"
"Miao, Jianjun",Jianjun Miao,"['Miao, Jianjun', 'Jianjun Miao']"
"Sun, Jianjun",Jianjun Sun,"['Sun, Jianjun']"
"Xu, Jianjun",Jianjun Xu,"['Xu, Jianjun']"
"Zhang, Jiankang",Jiankang Zhang,"['Zhang, Jiankang']"
Jianmin Tang,Jianmin Tang,['Jianmin Tang']
"Li, Jianpei",Jianpei Li,"['Li, Jianpei']"
Jianping Mei,Jianping Mei,"['Jianping Mei', 'Mei, Jianping']"
Jianping Qi,Jianping Qi,"['Jianping Qi', 'Qi, Jianping']"
"Xue, Jianpo",Jianpo Xue,"['Xue, Jianpo']"
Jianqing Fan,Jianqing Fan,"['Jianqing Fan', 'Fan, Jianqing']"
Jianting Hu,Jianting Hu,['Jianting Hu']
"Xu, Jianwei",Jianwei Xu,"['Xu, Jianwei']"
"Chi, Jianxin Daniel",Jianxin Daniel Chi,"['Chi, Jianxin Daniel', 'Chi, Jianxin (Daniel)']"
